quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11_corr,Q12v1,Q12v2,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W06Q01,22611,29-Sep-13,4:11:00 PM,3974193,1,1,5,9997,0,1,1,1,1,9997,1,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,4,0,9997,1,1,1,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,22614,29-Sep-13,4:21:00 PM,3374956,1,1,9997,1,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,1,1,9997,1,2,9997,0,9997,1,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22646,29-Sep-13,5:09:00 PM,1643747,1,1,9997,1,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22664,29-Sep-13,5:31:00 PM,4061349,1,1,9997,1,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,9997,1,9997,1,1,3,9997,0,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22678,29-Sep-13,5:52:00 PM,3935247,1,1,1,9997,1,1,1,5,0,1,9997,1,9997,1,1,1,1,9997,1,1,9997,1,1,1,9997,1,9997,3,0,9997,1,1,3,9997,0,1,9997,1,4,0,5,0,1,1,1,1,1,1,1,1
W06Q01,22690,29-Sep-13,6:02:00 PM,2898355,1,1,9997,4,0,1,1,5,0,1,9997,1,1,9997,1,1,1,1,9997,1,9997,1,1,9997,5,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22737,29-Sep-13,6:59:00 PM,4371365,1,1,9997,1,1,1,1,4,0,4,9997,0,2,9997,0,1,1,3,9997,0,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,2,0,9997,4,0,1,1,4,0,1,1,1,1,5,0,4,0
W06Q01,22823,29-Sep-13,8:25:00 PM,4194269,1,1,1,9997,1,1,1,1,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,2,9997,0,9997,1,1,2,0,4,0,1,1,1,1,1,1,1,1
W06Q01,22838,29-Sep-13,8:41:00 PM,3098349,1,1,1,9997,1,2,0,5,0,9997,2,0,9997,1,1,2,0,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,4,0,2,0,1,1,1,1,1,1,1,1
W06Q01,22883,29-Sep-13,9:20:00 PM,1189652,3,0,1,9997,1,1,1,3,0,4,9997,0,1,9997,1,1,1,1,9997,1,5,9997,0,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,22913,29-Sep-13,9:45:00 PM,4408919,1,1,2,9997,0,1,1,1,1,9997,1,1,9997,1,1,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,2,0
