quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20v1,Q20v2,Q20_corr
W03Q01,12814,07-Sep-13,10:48:00 PM,2706354,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,9999,0,9997,2,0,1,1,1,1,2,0,1,1,4,0,1,1,3,9997,0
W03Q01,12888,08-Sep-13,1:03:00 AM,3898678,3,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,4,0,3,0,2,0,1,1,2,0,1,1,2,0,9997,5,0
W03Q01,12934,08-Sep-13,2:37:00 AM,2894129,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,1,3,0,1,1,1,1,9997,3,0,1,1,1,1,1,1,1,1,4,0,3,0,9997,2,0
W03Q01,13042,08-Sep-13,6:53:00 AM,3296105,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,3,0,1,1,1,1,9997,3,0,3,0,1,1,2,0,3,0,1,1,4,0,1,9997,1
W03Q01,13064,08-Sep-13,7:40:00 AM,864050,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,1
W03Q01,13074,08-Sep-13,8:05:00 AM,3763979,4,0,1,1,5,0,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,4,0,3,0,9997,3,0
W03Q01,13117,08-Sep-13,9:13:00 AM,2265983,2,0,1,1,5,0,4,0,4,0,9999,0,5,0,1,1,1,1,4,0,3,0,1,1,1,9997,1,5,0,2,0,2,0,4,0,3,0,1,1,1,9997,1
W03Q01,13120,08-Sep-13,9:17:00 AM,3485290,3,0,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,5,0,1,1,1,1,1,1,1,1,2,0,1,1,9997,5,0
W03Q01,13160,08-Sep-13,10:24:00 AM,547508,1,1,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,4,0,1,9997,1
W03Q01,13259,08-Sep-13,12:53:00 PM,2271959,1,1,1,1,1,1,2,0,4,0,9999,0,1,1,1,1,3,0,3,0,1,1,1,1,9997,2,0,3,0,1,1,2,0,4,0,1,1,3,0,1,9997,1
W03Q01,13302,08-Sep-13,1:47:00 PM,3974193,2,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,4,0,2,0,2,9997,0
W03Q01,13355,08-Sep-13,2:43:00 PM,1042311,2,0,1,1,1,1,3,0,1,1,9999,0,5,0,1,1,1,1,1,1,3,0,1,1,1,9997,1,1,1,4,0,2,0,5,0,1,1,1,1,9997,2,0
W03Q01,13418,08-Sep-13,3:36:00 PM,2350520,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,4,0,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,2,0,9997,1,1
W03Q01,13447,08-Sep-13,3:57:00 PM,1258814,3,0,1,1,1,1,4,0,5,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,2,0,1,1,4,0,9997,1,1
W03Q01,13458,08-Sep-13,4:05:00 PM,4168258,3,0,1,1,1,1,1,1,1,1,9999,0,5,0,1,1,3,0,1,1,5,0,1,1,9997,1,1,1,1,1,1,2,0,4,0,9999,0,3,0,9997,4,0
W03Q01,13465,08-Sep-13,4:08:00 PM,3501278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,9997,1,1,1,1,2,0,2,0,1,1,5,0,1,1,1,9997,1
W03Q01,13594,08-Sep-13,5:49:00 PM,4402419,1,1,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,3,0,9997,2,0
W03Q01,13619,08-Sep-13,6:05:00 PM,1528511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,3,0,9997,1,1
W03Q01,13655,08-Sep-13,6:25:00 PM,3368928,4,0,1,1,1,1,1,1,4,0,9999,0,1,1,5,0,1,1,1,1,2,0,1,1,1,9997,1,1,1,1,1,2,0,1,1,5,0,3,0,1,9997,1
W03Q01,13762,08-Sep-13,7:40:00 PM,3214220,4,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,3,0,3,0,5,0,1,1,1,9997,1,5,0,1,1,1,1,5,0,3,0,1,1,9997,1,1
W03Q01,13854,08-Sep-13,8:36:00 PM,2265384,5,0,3,0,5,0,1,1,5,0,4,0,1,1,3,0,5,0,4,0,5,0,3,0,9997,3,0,4,0,2,0,3,0,3,0,1,1,2,0,9997,5,0
W03Q01,13860,08-Sep-13,8:38:00 PM,2337803,2,0,1,1,1,1,2,0,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,9997,3,0,1,1,1,1,2,0,1,1,5,0,5,0,9997,5,0
W03Q01,13955,08-Sep-13,9:33:00 PM,4371365,1,1,1,1,1,1,2,0,4,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,9997,2,0,1,1,1,1,1,1,5,0,2,0,5,0,1,9997,1
W03Q01,14003,08-Sep-13,9:59:00 PM,4308072,3,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,2,0,1,1,1,1,2,0,1,1,1,1,3,0,1,9997,1
W03Q01,14005,08-Sep-13,9:59:00 PM,1111057,1,1,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,4,0,1,1,1,1,9997,3,0,1,1,1,1,2,0,2,0,1,1,1,1,9997,2,0
W03Q01,14072,08-Sep-13,10:34:00 PM,4260868,1,1,1,1,1,1,1,1,3,0,9999,0,1,1,1,1,1,1,3,0,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,2,0,2,0,1,9997,1
W03Q01,14164,08-Sep-13,11:36:00 PM,4553945,1,1,1,1,1,1,2,0,2,0,1,1,1,1,1,1,1,1,3,0,1,1,1,1,9997,1,1,1,1,1,1,2,0,4,0,1,1,3,0,9997,3,0
W03Q01,14216,09-Sep-13,12:12:00 AM,239084,2,0,1,1,1,1,1,1,4,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,1,1,4,0,2,9997,0
W03Q01,14278,09-Sep-13,12:51:00 AM,2182043,2,0,1,1,5,0,3,0,1,1,9999,0,1,1,1,1,3,0,1,1,3,0,3,0,9997,2,0,2,0,1,1,4,0,5,0,4,0,1,1,9997,5,0
W03Q01,14300,09-Sep-13,1:05:00 AM,4376329,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,9997,2,0,1,1,1,1,1,1,1,1,2,0,4,0,9997,1,1
W03Q01,14366,09-Sep-13,1:38:00 AM,4511731,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,5,0,5,0,9997,4,0
W03Q01,14515,09-Sep-13,2:55:00 AM,4259653,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,9997,0
W03Q01,14551,09-Sep-13,3:17:00 AM,3158578,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,5,0,4,0,1,1,1,9997,1
W03Q01,14573,09-Sep-13,3:31:00 AM,4524081,1,1,1,1,1,1,1,1,3,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,2,0,4,0,1,1,2,0,2,0,1,1,2,0,4,9997,0
W03Q01,14771,09-Sep-13,5:35:00 AM,4529536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,2,0,1,1,1,1,2,0,1,1,1,1,1,1,9997,1,1
W03Q01,14785,09-Sep-13,6:12:00 AM,3240936,1,1,1,1,1,1,4,0,1,1,9999,0,2,0,4,0,5,0,4,0,1,1,4,0,1,9997,1,5,0,5,0,2,0,2,0,4,0,1,1,9997,3,0
W03Q01,14792,09-Sep-13,6:39:00 AM,3527919,1,1,1,1,1,1,1,1,1,1,9999,0,5,0,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1
W03Q01,14829,09-Sep-13,8:51:00 AM,4474282,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,3,0,1,1,1,1,2,0,1,9997,1,1,1,1,1,2,0,1,1,2,0,3,0,1,9997,1
W03Q01,14834,09-Sep-13,9:11:00 AM,2163502,1,1,1,1,1,1,1,1,5,0,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,2,0,3,9997,0
W03Q01,14836,09-Sep-13,9:13:00 AM,4406228,1,1,1,1,9999,0,4,0,3,0,9999,0,1,1,1,1,1,1,3,0,3,0,1,1,1,9997,1,1,1,2,0,1,1,1,1,1,1,3,0,9997,4,0
W03Q01,14843,09-Sep-13,9:58:00 AM,2923593,1,1,1,1,1,1,4,0,1,1,9999,0,5,0,1,1,9999,0,1,1,1,1,1,1,9997,2,0,1,1,2,0,2,0,1,1,4,0,1,1,5,9997,0
W03Q01,14854,09-Sep-13,10:28:00 AM,3940239,4,0,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,9997,1,1,1,5,0,3,0,2,0,1,1,1,1,2,9997,0
W03Q01,14864,09-Sep-13,11:13:00 AM,1673528,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,3,0,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,2,0,9997,1,1
W03Q01,14867,09-Sep-13,11:22:00 AM,4285966,1,1,1,1,5,0,1,1,4,0,9999,0,1,1,1,1,3,0,3,0,1,1,1,1,9997,3,0,1,1,1,1,2,0,1,1,4,0,1,1,9997,3,0
W03Q01,14883,09-Sep-13,12:30:00 PM,4585027,3,0,1,1,1,1,4,0,1,1,1,1,1,1,2,0,1,1,4,0,1,1,1,1,1,9997,1,3,0,1,1,1,1,1,1,4,0,4,0,1,9997,1
W03Q01,14890,09-Sep-13,12:57:00 PM,1891927,1,1,1,1,5,0,1,1,1,1,9999,0,1,1,9999,0,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,3,0,1,9997,1
W03Q01,14892,09-Sep-13,1:00:00 PM,4405065,1,1,1,1,1,1,4,0,2,0,9999,0,1,1,1,1,1,1,3,0,3,0,1,1,1,9997,1,5,0,1,1,2,0,5,0,2,0,2,0,3,9997,0
W03Q01,14893,09-Sep-13,1:13:00 PM,3129885,1,1,1,1,1,1,2,0,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,1
W03Q01,14898,09-Sep-13,1:25:00 PM,3877706,3,0,1,1,3,0,1,1,1,1,9999,0,5,0,1,1,3,0,3,0,3,0,1,1,9997,3,0,1,1,1,1,5,0,9999,0,4,0,1,1,3,9997,0
W03Q01,14902,09-Sep-13,1:45:00 PM,4165317,1,1,1,1,1,1,1,1,5,0,9999,0,1,1,1,1,3,0,3,0,1,1,1,1,1,9997,1,1,1,5,0,1,1,2,0,5,0,2,0,1,9997,1
W03Q01,14907,09-Sep-13,2:10:00 PM,4276921,2,0,1,1,1,1,1,1,4,0,9999,0,5,0,1,1,3,0,3,0,1,1,1,1,9997,3,0,2,0,2,0,2,0,1,1,1,1,5,0,9997,2,0
W03Q01,14908,09-Sep-13,2:13:00 PM,790994,2,0,1,1,5,0,2,0,1,1,1,1,1,1,1,1,4,0,1,1,3,0,1,1,3,9997,0,1,1,1,1,2,0,5,0,1,1,3,0,1,9997,1
W03Q01,14915,09-Sep-13,2:32:00 PM,4631705,4,0,4,0,1,1,3,0,4,0,9999,0,1,1,3,0,3,0,4,0,5,0,4,0,4,9997,0,2,0,1,1,2,0,2,0,3,0,4,0,9997,3,0
W03Q01,14918,09-Sep-13,2:40:00 PM,1278723,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,5,0,2,9997,0
W03Q01,14922,09-Sep-13,2:51:00 PM,3669811,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,1,1,5,0,1,1,4,9997,0,3,0,1,1,2,0,5,0,2,0,4,0,9997,5,0
W03Q01,14926,09-Sep-13,3:11:00 PM,4077910,4,0,1,1,1,1,1,1,2,0,9999,0,1,1,1,1,4,0,3,0,5,0,1,1,1,9997,1,4,0,1,1,3,0,3,0,1,1,3,0,3,9997,0
W03Q01,14928,09-Sep-13,3:17:00 PM,3250989,3,0,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,5,0,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1
W03Q01,14930,09-Sep-13,3:21:00 PM,3734944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,3,0,1,1,1,1,9997,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,9997,1
W03Q01,14941,09-Sep-13,3:52:00 PM,3764826,1,1,1,1,1,1,1,1,4,0,9999,0,5,0,1,1,3,0,1,1,1,1,1,1,4,9997,0,1,1,2,0,2,0,1,1,2,0,3,0,9997,1,1
W03Q01,14946,09-Sep-13,4:02:00 PM,4428346,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,1,9997,1
W03Q01,14947,09-Sep-13,4:03:00 PM,635278,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,1,1,9997,1,1
W03Q01,14948,09-Sep-13,4:04:00 PM,943036,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,1,1,1,1,1,1,9997,2,0,1,1,1,1,2,0,1,1,1,1,1,1,9997,5,0
W03Q01,14949,09-Sep-13,4:06:00 PM,4369923,3,0,1,1,1,1,1,1,1,1,1,1,5,0,1,1,3,0,3,0,5,0,1,1,1,9997,1,2,0,1,1,2,0,3,0,4,0,5,0,9997,4,0
W03Q01,14955,09-Sep-13,4:21:00 PM,4270364,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,1,1,4,0,3,0,1,1,9997,4,0,1,1,1,1,2,0,1,1,1,1,5,0,1,9997,1
W03Q01,14956,09-Sep-13,4:22:00 PM,1789536,2,0,1,1,4,0,1,1,4,0,9999,0,2,0,1,1,1,1,1,1,5,0,1,1,9997,2,0,2,0,1,1,2,0,1,1,2,0,5,0,4,9997,0
W03Q01,14958,09-Sep-13,4:25:00 PM,4326037,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,3,0,5,0,1,1,9997,4,0,1,1,1,1,1,1,1,1,2,0,3,0,9997,4,0
W03Q01,14980,09-Sep-13,5:07:00 PM,1629899,1,1,1,1,5,0,1,1,2,0,9999,0,1,1,1,1,3,0,1,1,5,0,2,0,9997,2,0,1,1,1,1,2,0,1,1,1,1,3,0,2,9997,0
W03Q01,14981,09-Sep-13,5:11:00 PM,453080,2,0,1,1,1,1,2,0,4,0,1,1,1,1,1,1,3,0,3,0,1,1,1,1,9997,2,0,1,1,1,1,2,0,3,0,4,0,3,0,3,9997,0
W03Q01,14982,09-Sep-13,5:25:00 PM,230131,4,0,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,9997,1,1,1,1,1,2,0,2,0,1,1,1,1,1,9997,1
W03Q01,14992,09-Sep-13,5:47:00 PM,4408195,1,1,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,2,0,4,0,1,1,1,9997,1
W03Q01,14994,09-Sep-13,5:56:00 PM,4130347,2,0,1,1,1,1,1,1,1,1,9999,0,1,1,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,1,1,1,3,0,9997,1,1
W03Q01,14995,09-Sep-13,5:57:00 PM,4118871,3,0,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9997,0
W03Q01,14996,09-Sep-13,5:58:00 PM,3935247,2,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,1,1,9997,1,1,1,3,0,2,0,1,1,2,0,4,0,5,9997,0
