quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W01Q01,487,21-Aug-13,7:09:00 PM,3253695,1,1,2,0,1,1,2,1,1,1,3,0,2,0,1,1,9997,2,0,3,0,2,0,2,0,1,1,4,0,3,0,2,0,3,0,2,0,4,0,5,0
W01Q01,492,21-Aug-13,7:29:00 PM,4122102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9997,0,5,0,1,1,4,0,2,0,2,0,5,0,2,0,2,0,2,0,2,0,5,0
W01Q01,500,21-Aug-13,8:08:00 PM,2480694,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,9997,2,0,3,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,2,0,1,1
W01Q01,510,21-Aug-13,8:35:00 PM,2091949,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,2,0,2,0,5,0
W01Q01,511,21-Aug-13,8:40:00 PM,1783831,1,1,1,1,1,1,5,0,1,1,1,1,5,0,1,1,4,9997,0,5,0,1,1,1,1,3,0,1,1,5,0,1,1,4,0,1,1,5,0,2,0
W01Q01,513,21-Aug-13,8:50:00 PM,2983212,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,4,0,3,0,1,1,2,0,2,0,3,0,2,0
W01Q01,518,21-Aug-13,9:00:00 PM,4420421,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,4,0,1,1,1,1,1,1,1,1,2,0,1,1,3,0,3,0,1,1
W01Q01,521,21-Aug-13,9:04:00 PM,4192481,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,9997,2,0,3,0,2,0,1,1,1,1,5,0,1,1,2,0,1,1,4,0,2,0,4,0
W01Q01,525,21-Aug-13,9:14:00 PM,4342116,1,1,1,1,1,1,2,1,1,1,1,1,5,0,1,1,2,9997,0,5,0,1,1,4,0,1,1,1,1,1,1,2,0,5,0,1,1,5,0,1,1
W01Q01,535,21-Aug-13,9:40:00 PM,1379352,1,1,1,1,1,1,2,1,1,1,1,1,4,0,1,1,1,9997,1,1,1,1,1,4,0,2,0,1,1,1,1,5,0,5,0,2,0,2,0,5,0
W01Q01,536,21-Aug-13,9:41:00 PM,1531839,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,1,1,1,1,4,0,1,1
W01Q01,564,22-Aug-13,12:13:00 AM,2247359,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,2,9997,0,3,0,1,1,4,0,1,1,4,0,1,1,1,1,2,0,2,0,2,0,1,1
W01Q01,568,22-Aug-13,12:31:00 AM,812020,1,1,1,1,1,1,1,1,1,1,1,1,3,0,3,0,1,9997,1,5,0,1,1,4,0,5,0,1,1,1,1,1,1,5,0,1,1,3,0,3,0
W01Q01,574,22-Aug-13,12:49:00 AM,4118871,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1
W01Q01,580,22-Aug-13,1:13:00 AM,2898355,1,1,1,1,1,1,5,0,1,1,1,1,4,0,1,1,2,9997,0,5,0,1,1,1,1,9999,0,2,0,1,1,2,0,1,1,1,1,2,0,2,0
W01Q01,584,22-Aug-13,1:40:00 AM,3259592,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,2,0,9999,0,1,1,4,0,1,1,2,0,1,1,1,1,1,1,5,0,4,0,4,0
W01Q01,588,22-Aug-13,2:00:00 AM,4177093,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,1,9997,1,3,0,1,1,4,0,1,1,2,0,1,1,1,1,9999,0,5,0,5,0,5,0
W01Q01,599,22-Aug-13,2:59:00 AM,4363102,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,9997,1,5,0,1,1,2,0,1,1,2,0,5,0,1,1,1,1,4,0,1,1,3,0
W01Q01,600,22-Aug-13,3:02:00 AM,2723281,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,9999,9999,0,3,0,1,1,2,0,1,1,2,0,1,1,1,1,1,1,4,0,5,0,5,0
W01Q01,603,22-Aug-13,3:21:00 AM,2456439,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,9997,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1
W01Q01,614,22-Aug-13,4:19:00 AM,2307809,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1,2,0
