quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01_corr,Q02,Q02_corr,Q03v1,Q03v2,Q03v3,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06v3,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W05Q01,19685,21-Sep-13,7:46:00 PM,2666549,1,9997,1,1,1,9997,9997,1,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,5,0,2,0,4,0,4,0,1,1,1,1,3,0
W05Q01,19703,21-Sep-13,8:35:00 PM,3834663,9997,1,1,3,0,1,9997,9997,1,1,9997,1,7,9997,0,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19718,21-Sep-13,9:45:00 PM,3680842,4,9997,0,9999,0,6,9997,9997,0,9997,3,0,1,9997,1,9997,5,9997,0,9999,9999,0,9997,3,0,5,9997,0,9997,3,0,5,0,2,0,#NULL!,0,5,0,4,0,4,0,5,0,2,0,2,0,4,0
W05Q01,19741,21-Sep-13,11:21:00 PM,4286345,1,9997,1,4,0,9997,7,9997,0,9997,1,1,5,9997,0,9997,1,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,5,0,4,0,#NULL!,0,4,0,2,0,1,1,4,0,1,1,1,1,1,1
W05Q01,19764,22-Sep-13,12:50:00 AM,2182043,2,9997,0,1,1,1,9997,9997,1,9997,1,1,7,9997,0,9997,9997,5,0,9999,9999,0,2,9997,0,9997,5,0,9997,3,0,5,0,4,0,#NULL!,0,1,1,3,0,4,0,9999,0,2,0,1,1,3,0
W05Q01,19775,22-Sep-13,1:29:00 AM,4413685,9997,1,1,1,1,9997,9997,7,0,1,9997,1,5,9997,0,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,4,0,5,0,1,1,4,0,1,1,1,1,4,0
W05Q01,19777,22-Sep-13,1:36:00 AM,809288,9997,5,0,2,0,9997,9997,2,0,9997,2,0,2,9997,0,2,9997,9997,0,9999,9999,0,9997,1,1,9997,4,0,9997,4,0,3,0,5,0,#NULL!,0,2,0,4,0,4,0,4,0,1,1,2,0,4,0
W05Q01,19790,22-Sep-13,2:22:00 AM,2037783,9997,1,1,4,0,1,9997,9997,1,9997,1,1,1,9997,1,9997,9997,1,1,9999,9999,0,9997,5,0,9997,3,0,9997,1,1,5,0,3,0,#NULL!,0,3,0,4,0,3,0,1,1,1,1,1,1,1,1
W05Q01,19791,22-Sep-13,2:24:00 AM,2156001,1,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,1,9997,1,9997,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19806,22-Sep-13,3:17:00 AM,3188497,9997,1,1,2,0,1,9997,9997,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19809,22-Sep-13,3:26:00 AM,3824648,1,9997,1,2,0,1,9997,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,1,1,4,0,#NULL!,0,2,0,3,0,3,0,1,1,1,1,1,1,4,0
W05Q01,19847,22-Sep-13,5:36:00 AM,274657,1,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,6,0,9997,1,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,1,1,2,0,#NULL!,0,1,1,1,1,1,1,1,1,1,1,1,1,4,0
W05Q01,19858,22-Sep-13,6:12:00 AM,4577908,1,9997,1,1,1,1,9997,9997,1,1,9997,1,1,9997,1,9997,9997,1,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,5,0,1,1,#NULL!,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,19867,22-Sep-13,6:56:00 AM,1258814,1,9997,1,1,1,1,9997,9997,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1
W05Q01,19876,22-Sep-13,7:26:00 AM,4406228,9997,1,1,3,0,9997,9997,2,0,9997,1,1,1,9997,1,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,2,0,3,0,#NULL!,0,5,0,2,0,1,1,4,0,1,1,3,0,4,0
W05Q01,19877,22-Sep-13,7:30:00 AM,3378401,1,9997,1,1,1,9997,3,9997,0,1,9997,1,5,9997,0,9997,1,9997,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,1,1,2,0,#NULL!,0,5,0,2,0,2,0,1,1,1,1,1,1,1,1
W05Q01,19880,22-Sep-13,7:34:00 AM,2029348,9997,1,1,1,1,9997,9997,1,1,1,9997,1,5,9997,0,9997,9997,1,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,1,1,3,0,#NULL!,0,3,0,2,0,1,1,5,0,1,1,1,1,1,1
