quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12v4,Q12v5,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19v1,Q19v2,Q19_corr,Q20,Q20_corr
W07Q01,24795,06-Oct-13,3:10:00 PM,1128405,3,0,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,1,9997,9997,9997,1,1,9997,1,9997,9997,1,1,1,9997,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,24813,06-Oct-13,3:47:00 PM,1392779,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,4,0,9997,1,9997,1,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,9997,9997,4,0,1,1,1,1,3,0,9997,5,0,1,1
W07Q01,24847,06-Oct-13,4:47:00 PM,2816937,2,0,1,9997,1,9997,1,1,9997,3,0,9997,5,0,9997,1,1,9997,4,0,9997,3,0,9997,5,0,9997,5,0,9997,5,9997,0,9997,9997,9997,2,9997,0,9997,2,0,2,9997,9997,0,9997,9997,9997,1,1,2,0,2,0,3,0,9997,3,0,2,0
W07Q01,24872,06-Oct-13,5:19:00 PM,2959831,1,1,1,9997,1,1,9997,1,3,9997,0,2,9997,0,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,9997,1,1,9997,2,0,1,9997,9997,1,2,9997,9997,9997,0,1,1,1,1,1,1,9997,1,1,3,0
W07Q01,24944,06-Oct-13,7:18:00 PM,4413685,3,0,4,9997,0,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,2,9997,0,1,9997,1,1,9997,1,9997,5,9997,0,1,9997,9997,9997,9997,1,9997,2,0,9997,1,9997,1,5,9997,9997,9997,0,4,0,3,0,1,1,9997,4,0,1,1
W07Q01,25079,06-Oct-13,9:51:00 PM,2301739,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,4,9997,0,1,9997,1,9997,2,0,1,9997,1,9997,1,9997,1,1,9997,9997,9997,9997,1,1,9997,1,1,9997,9997,1,2,9997,9997,9997,0,1,1,1,1,3,0,1,9997,1,1,1
W07Q01,25209,07-Oct-13,12:44:00 AM,2269457,3,0,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,4,0,1,9997,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,1,1,1,1,1,1,3,0,9997,1,1,1,1
W07Q01,25217,07-Oct-13,12:58:00 AM,1703168,3,0,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,2,0,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,9997,9997,9997,9997,1,1,9997,1,1,9997,9997,1,1,5,9997,9997,9997,0,1,1,1,1,1,1,9997,5,0,1,1
W07Q01,25276,07-Oct-13,2:09:00 AM,254150,2,0,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,5,0,1,9997,1,9997,2,0,1,9997,1,1,9997,1,1,9997,9997,1,9997,9997,9997,1,9997,1,9997,1,1,9997,1,9997,1,2,9997,9997,9997,0,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,25286,07-Oct-13,2:19:00 AM,3273666,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,4,9997,0,9997,9997,9997,1,9997,1,9997,1,1,9997,9997,3,0,9997,9997,9997,3,0,1,1,1,1,1,1,9997,1,1,3,0
W07Q01,25492,07-Oct-13,5:50:00 AM,1701013,1,1,9997,1,1,9997,1,1,3,9997,0,9997,1,1,9997,5,0,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,9997,1,1,9997,9997,9997,9997,1,9997,1,1,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,1,1,9997,5,0,3,0
W07Q01,25506,07-Oct-13,9:41:00 AM,4556652,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,4,0,9997,1,9997,1,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,5,9997,0,1,1
W07Q01,25509,07-Oct-13,10:17:00 AM,4094156,3,0,9997,1,1,1,9997,1,9997,1,1,2,9997,0,1,9997,1,1,9997,1,1,9997,1,4,9997,0,1,9997,1,1,9997,9997,1,9997,9997,9997,9997,1,1,4,9997,0,9997,5,9997,0,9997,1,9997,9997,1,1,1,1,1,1,1,9997,5,0,2,0
W07Q01,25526,07-Oct-13,12:44:00 PM,1907182,1,1,1,9997,1,4,9997,0,9997,3,0,9997,1,1,9997,1,1,9997,3,0,9997,5,0,9997,4,0,9997,1,1,2,9997,9997,0,1,9997,9997,9997,9997,1,4,9997,0,1,9997,9997,1,9997,9997,9997,4,0,6,0,5,0,1,1,1,9997,1,3,0
W07Q01,25530,07-Oct-13,1:03:00 PM,585471,1,1,4,9997,0,1,9997,1,1,9997,1,9997,2,0,9997,5,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,9997,1,1,1,9997,1,9997,4,9997,0,9997,9997,1,9997,1,2,0,2,0,1,1,5,9997,0,1,1
W07Q01,25540,07-Oct-13,1:59:00 PM,1047257,3,0,9997,1,1,9997,1,1,2,9997,0,1,9997,1,9997,5,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,2,9997,9997,0,1,9997,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,25554,07-Oct-13,3:22:00 PM,4412096,2,0,1,9997,1,9997,2,0,4,9997,0,9997,2,0,3,9997,0,2,9997,0,9997,5,0,1,9997,1,5,9997,0,9999,9999,9999,0,9997,4,9997,9997,9997,0,9997,1,1,9999,9999,9999,0,9997,9997,2,9997,0,1,1,4,0,2,0,9997,1,1,1,1
W07Q01,25566,07-Oct-13,4:53:00 PM,4347232,2,0,9997,2,0,4,9997,0,2,9997,0,1,9997,1,4,9997,0,9997,5,0,9997,5,0,9997,5,0,9997,4,0,9997,9997,3,0,9997,9997,9997,9997,2,0,5,9997,0,9997,4,9997,0,9997,2,9997,9997,0,2,0,5,0,5,0,9997,4,0,2,0
W07Q01,25570,07-Oct-13,5:40:00 PM,4077910,2,0,5,9997,0,9997,3,0,9997,1,1,9997,3,0,2,9997,0,9999,9999,0,9997,2,0,2,9997,0,9997,2,0,9997,9997,2,0,9997,9997,9997,2,9997,0,9997,2,0,1,9997,9997,1,9997,2,9997,9997,0,3,0,1,1,2,0,5,9997,0,2,0
W07Q01,25573,07-Oct-13,6:09:00 PM,1907578,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,9997,1,1,9997,9997,1,9997,9997,1,4,9997,0,1,9997,9997,1,9997,9997,1,9997,1,1,1,1,1,1,1,1,9997,1,3,0
